# path	needle	expected_count	classification	canonical_owner
iOS/NativeAgentMobile/Sources/ChatStore+ICloudReplies.swift	*	3	external_protocol_poll	MobileICloudReplyTransport
iOS/NativeAgentMobile/Sources/ChatStore+Typewriter.swift	*	1	visible_ui	MobileTypewriterUI
iOS/NativeAgentMobile/Sources/ChatView.swift	*	2	visible_ui	MobileChatUI
iOS/NativeAgentMobile/Sources/ContentView.swift	*	3	visible_ui	MobileContentUI
iOS/NativeAgentMobile/Sources/Diagnostics/CKLandmine.swift	*	1	external_protocol_poll	MobileCloudKitDiagnostic
iOS/NativeAgentMobile/Sources/KnowledgeGraphView.swift	*	1	visible_ui	MobileKnowledgeGraphUI
iOS/NativeAgentMobile/Sources/MacBridgeClient.swift	*	2	external_protocol_poll	MobileMacBridgeTransport
iOS/NativeAgentMobile/Sources/NativeAgentDesign.swift	*	1	visible_ui	MobileDesignAnimation
iOS/NativeAgentMobile/Sources/NativeAgentMobileApp.swift	*	2	visible_ui	MobileAppUI
iOS/NativeAgentMobile/Sources/ProviderSettingsView.swift	*	1	visible_ui	MobileProviderSettingsUI
iOS/NativeAgentMobile/Sources/SystemToastBar.swift	*	1	visible_ui	MobileToastUI
iOS/NativeAgentMobile/Sources/VoiceInputController.swift	*	1	visible_ui	MobileVoiceInputUI
iOS/NativeAgentMobile/Sources/iCloudBridge.swift	*	1	external_protocol_poll	MobileICloudBridgeTimeout
iOS/NativeAgentMobile/Sources/iCloudSyncEngine+Actions.swift	*	4	external_protocol_poll	MobileICloudActionTransport
iOS/NativeAgentMobile/Sources/iCloudSyncEngine+Snapshots.swift	*	1	external_protocol_poll	MobileICloudSnapshotFetch
