image,label,glyph_box_xyxy,background_y,composited_ink,composited_background,contrast
providers-open-1024x700-dark-accessibility5.png,exception-summary,"536,320,811,333",337,#FFFFFF,#756751,5.50
providers-open-1024x700-dark-accessibility5.png,anthropic-key,"413,275,458,289",292,#FFFFFF,#645742,7.04
providers-open-1024x700-dark-accessibility5.png,anthropic-sign-in,"413,319,458,333",336,#FFFFFF,#5E533E,7.55
providers-open-1024x700-dark-accessibility5.png,codex-sign-in,"413,361,458,375",378,#FFFFFF,#594E3B,8.15
providers-open-1024x700-dark-accessibility5.png,kimi-key,"413,405,458,419",422,#FFFFFF,#534937,8.84
providers-open-1024x700-dark-accessibility5.png,moonshot-key,"413,448,458,462",465,#FFFFFC,#4D4434,9.56
providers-open-1024x700-dark-accessibility5.png,openai-key,"413,490,458,504",507,#FFFFF8,#473F30,10.34
providers-open-1024x700-dark-accessibility5.png,openrouter-key,"413,533,458,547",550,#FFFFF4,#413A2C,11.18
providers-open-1024x700-dark-accessibility5.png,xai-sign-in,"413,576,458,590",593,#FFFDF1,#3C3529,11.87
providers-open-1024x700-dark-accessibility5.png,override-explanation,"524,350,1002,395",349,#FFFFFF,#726851,5.51
providers-open-1024x700-dark-accessibility5.png,explicit-origin,"540,466,750,478",481,#FFFFF7,#463D2F,10.61
providers-open-1024x700-light-accessibility5.png,intro,"144,83,470,112",116,#474747,#FAFAFA,8.90
providers-open-1024x700-light-accessibility5.png,connected,"148,218,309,230",234,#474747,#FAFAFA,8.90
providers-open-1024x700-light-accessibility5.png,account-method,"148,238,232,250",253,#474747,#FAFAFA,8.90
providers-open-1024x700-light-accessibility5.png,exception-summary,"536,320,811,333",337,#474747,#E1E4DE,7.24
providers-open-1024x700-light-accessibility5.png,anthropic-key,"413,275,458,289",292,#474747,#FAFAFA,8.90
providers-open-1024x700-light-accessibility5.png,anthropic-sign-in,"413,319,458,333",336,#474747,#FAFAFA,8.90
providers-open-1024x700-light-accessibility5.png,codex-sign-in,"413,361,458,375",378,#474747,#FAFAFA,8.90
providers-open-1024x700-light-accessibility5.png,kimi-key,"413,405,458,419",422,#474747,#FAFAFA,8.90
providers-open-1024x700-light-accessibility5.png,moonshot-key,"413,448,458,462",465,#474747,#FAFAFA,8.90
providers-open-1024x700-light-accessibility5.png,openai-key,"413,490,458,504",507,#474747,#FAFAFA,8.90
providers-open-1024x700-light-accessibility5.png,openrouter-key,"413,533,458,547",550,#474747,#FAFAFA,8.90
providers-open-1024x700-light-accessibility5.png,xai-sign-in,"413,576,458,590",593,#474747,#FAFAFA,8.90
providers-open-1024x700-light-accessibility5.png,override-explanation,"524,350,1002,395",349,#474747,#DEE4DE,7.19
providers-open-1024x700-light-accessibility5.png,explicit-origin,"540,466,750,478",481,#474747,#FAFAFA,8.90
providers-open-1280x800-dark.png,intro,"144,83,470,112",116,#FFFFFF,#6B5E46,6.34
providers-open-1280x800-dark.png,connected,"148,218,309,230",234,#FFFFFF,#5C513D,7.78
providers-open-1280x800-dark.png,account-method,"148,238,232,250",253,#FFFFFD,#524837,8.96
providers-open-1280x800-dark.png,exception-summary,"536,320,811,333",337,#FFFFFF,#877059,4.67
providers-open-1280x800-dark.png,anthropic-key,"413,275,458,289",292,#FFFFFF,#675A44,6.73
providers-open-1280x800-dark.png,anthropic-sign-in,"413,319,458,333",336,#FFFFFF,#615540,7.29
providers-open-1280x800-dark.png,codex-sign-in,"413,361,458,375",378,#FFFFFF,#5C503D,7.87
providers-open-1280x800-dark.png,kimi-key,"413,405,458,419",422,#FFFFFF,#564B39,8.53
providers-open-1280x800-dark.png,moonshot-key,"413,448,458,462",465,#FFFFFD,#504636,9.24
providers-open-1280x800-dark.png,openai-key,"413,490,458,504",507,#FFFFFA,#4A4132,10.00
providers-open-1280x800-dark.png,openrouter-key,"413,533,458,547",550,#FFFFF6,#443C2E,10.81
providers-open-1280x800-dark.png,xai-sign-in,"413,576,458,590",593,#FFFFF2,#3F372B,11.62
providers-open-1280x800-dark.png,override-explanation,"524,350,1258,379",349,#FFFFFF,#846F56,4.78
providers-open-1280x800-dark.png,explicit-origin,"540,450,750,462",465,#FFFFFD,#4F4635,9.28
providers-open-1280x800-dark.png,inherited-origin,"540,781,829,794",797,#EBE7E1,#24201A,13.15
providers-open-1280x800-light.png,intro,"144,83,470,112",116,#474747,#FAFAFA,8.90
providers-open-1280x800-light.png,connected,"148,218,309,230",234,#474747,#FAFAFA,8.90
providers-open-1280x800-light.png,account-method,"148,238,232,250",253,#474747,#FAFAFA,8.90
providers-open-1280x800-light.png,exception-summary,"536,320,811,333",337,#474747,#EBE4DE,7.38
providers-open-1280x800-light.png,anthropic-key,"413,275,458,289",292,#474747,#FAFAFA,8.90
providers-open-1280x800-light.png,anthropic-sign-in,"413,319,458,333",336,#474747,#FAFAFA,8.90
providers-open-1280x800-light.png,codex-sign-in,"413,361,458,375",378,#474747,#FAFAFA,8.90
providers-open-1280x800-light.png,kimi-key,"413,405,458,419",422,#474747,#FAFAFA,8.90
providers-open-1280x800-light.png,moonshot-key,"413,448,458,462",465,#474747,#FAFAFA,8.90
providers-open-1280x800-light.png,openai-key,"413,490,458,504",507,#474747,#FAFAFA,8.90
providers-open-1280x800-light.png,openrouter-key,"413,533,458,547",550,#474747,#FAFAFA,8.90
providers-open-1280x800-light.png,xai-sign-in,"413,576,458,590",593,#474747,#FAFAFA,8.90
providers-open-1280x800-light.png,override-explanation,"524,350,1258,379",349,#474747,#DAE4DD,7.13
providers-open-1280x800-light.png,explicit-origin,"540,450,750,462",465,#474747,#FAFAFA,8.90
providers-open-1280x800-light.png,inherited-origin,"540,781,829,794",797,#474747,#FAFAFA,8.90
