1280-light | Section heading | #595F6A / #F9FBFD at x=264, y=76 | 6.20:1
1024-largest-light | Section heading | #595F6A / #F9FBFD at x=140, y=76 | 6.20:1
1024-largest-light | Intro | #595F6A / #F9FBFD at x=148, y=119 | 6.20:1
1024-largest-light | Preset timing | #595F6A / #F9FBFD at x=148, y=148 | 6.20:1
1024-largest-light | Preset detail | #626771 / #F9FBFD at x=320, y=209 | 5.46:1
1024-largest-light | Work detail | #616671 / #F9FBFD at x=868, y=209 | 5.54:1
1024-largest-light | Builder detail | #5F656F / #F9FBFD at x=400, y=281 | 5.64:1
1024-largest-light | Full Mac detail | #5E646F / #F9FBFD at x=648, y=281 | 5.72:1
1024-largest-light | Immediate heading | #595F6A / #F9FBFD at x=156, y=383 | 6.20:1
1024-largest-light | Immediate explanation | #595F6A / #F9FBFD at x=164, y=428 | 6.20:1
1024-largest-light | Developer explanation | #595F6A / #F9FBFD at x=164, y=584 | 6.20:1
1024-largest-light | Draft heading | #595F6A / #F9FBFD at x=156, y=667 | 6.20:1
1024-largest-dark | Section heading | #FFFFFF / #6D5F48 at x=280, y=76 | 6.19:1
1024-largest-dark | Intro | #FFFFFF / #7B6C51 at x=368, y=119 | 5.14:1
1024-largest-dark | Preset timing | #FFFFFF / #7F6F55 at x=368, y=148 | 4.90:1
1024-largest-dark | Preset detail | #FFFFFF / #76674E at x=340, y=209 | 5.53:1
1024-largest-dark | Work detail | #FFFFFF / #625540 at x=588, y=209 | 7.23:1
1024-largest-dark | Builder detail | #FFFFFF / #6D5F48 at x=360, y=281 | 6.19:1
1024-largest-dark | Full Mac detail | #FFFFFF / #5E523E at x=588, y=281 | 7.63:1
1024-largest-dark | Immediate heading | #FFFFFF / #5D503C at x=296, y=383 | 7.86:1
1024-largest-dark | Immediate explanation | #FFFFFF / #584D39 at x=364, y=428 | 8.32:1
1024-largest-dark | Developer explanation | #FEFDF9 / #3F3728 at x=364, y=584 | 11.48:1
1024-largest-dark | Draft heading | #F5F5F4 / #312A1E at x=336, y=667 | 12.97:1
full-light | Section heading | #595F6A / #F9FBFD at x=264, y=76 | 6.20:1
full-light | Intro | #595F6A / #F9FBFD at x=272, y=119 | 6.20:1
full-light | Preset timing | #595F6A / #F9FBFD at x=272, y=148 | 6.20:1
full-light | Preset detail | #626771 / #F9FBFD at x=444, y=209 | 5.46:1
full-light | Work detail | #616671 / #F9FBFD at x=892, y=209 | 5.54:1
full-light | Builder detail | #5F656F / #F9FBFD at x=524, y=281 | 5.64:1
full-light | Full Mac detail | #616671 / #F9FBFD at x=932, y=281 | 5.54:1
full-light | Immediate heading | #595F6A / #F9FBFD at x=280, y=383 | 6.20:1
full-light | Immediate explanation | #595F6A / #F9FBFD at x=288, y=428 | 6.20:1
full-light | Developer explanation | #595F6A / #F9FBFD at x=288, y=584 | 6.20:1
full-light | Draft heading | #595F6A / #F9FBFD at x=280, y=667 | 6.20:1
full-light | Save timing | #595F6A / #F9FBFD at x=288, y=712 | 6.20:1
full-dark | Section heading | #FFFFFF / #574D39 at x=404, y=76 | 8.36:1
full-dark | Intro | #FFFFFF / #60533F at x=432, y=119 | 7.47:1
full-dark | Preset timing | #FFFFFF / #645841 at x=452, y=148 | 6.99:1
full-dark | Preset detail | #FFFFFF / #6C5F48 at x=464, y=209 | 6.21:1
full-dark | Work detail | #FFFFFF / #594F3A at x=712, y=209 | 8.08:1
full-dark | Builder detail | #FFFFFF / #77684F at x=464, y=281 | 5.45:1
full-dark | Full Mac detail | #FFFFFF / #5E523E at x=712, y=281 | 7.63:1
full-dark | Immediate heading | #FFFFFF / #77684E at x=420, y=383 | 5.45:1
full-dark | Immediate explanation | #FFFFFF / #74644D at x=468, y=428 | 5.70:1
full-dark | Developer explanation | #FFFFFF / #5D513C at x=428, y=584 | 7.76:1
full-dark | Draft heading | #FFFFFF / #504634 at x=440, y=667 | 9.28:1
full-dark | Save timing | #FFFFFE / #4A4030 at x=468, y=712 | 10.19:1
